Date UTC,Temperature VSI,Humidity VSI
2020-04-21 00:00:50,19.86,48.92
2020-04-21 00:02:51,19.83,48.93
2020-04-21 00:04:52,19.84,48.91
2020-04-21 00:06:53,19.8,48.99
2020-04-21 00:08:55,19.8,49.02
2020-04-21 00:10:56,19.84,48.94
2020-04-21 00:12:57,19.82,49.03
2020-04-21 00:14:58,19.88,48.96
2020-04-21 00:17:00,19.86,48.93
2020-04-21 00:19:01,19.91,48.85
2020-04-21 00:21:02,19.89,48.76
2020-04-21 00:23:03,19.92,48.66
2020-04-21 00:25:05,19.86,48.76
2020-04-21 00:27:06,19.85,48.78
2020-04-21 00:29:07,19.83,48.88
2020-04-21 00:31:08,19.84,48.79
2020-04-21 00:33:10,19.91,48.64
2020-04-21 00:35:11,19.89,48.62
2020-04-21 00:37:12,19.83,48.75
2020-04-21 00:39:13,19.78,48.88
2020-04-21 00:41:14,19.84,48.81
2020-04-21 00:43:16,19.83,48.76
2020-04-21 00:45:17,19.79,48.89
2020-04-21 00:47:18,19.81,48.88
2020-04-21 00:49:20,19.84,48.78
2020-04-21 00:51:21,19.84,48.77
2020-04-21 00:53:22,19.8,48.84
2020-04-21 00:55:23,19.81,48.86
2020-04-21 00:57:24,19.84,48.84
2020-04-21 00:59:26,19.83,48.9
2020-04-21 01:01:27,19.84,48.86
2020-04-21 01:03:28,19.81,48.9
2020-04-21 01:05:29,19.84,48.97
2020-04-21 01:07:31,19.85,48.87
2020-04-21 01:09:32,19.84,48.95
2020-04-21 01:11:33,19.86,48.91
2020-04-21 01:13:34,19.91,48.77
2020-04-21 01:15:36,19.91,48.74
2020-04-21 01:17:37,19.91,48.75
2020-04-21 01:19:38,19.88,48.82
2020-04-21 01:21:39,19.86,48.85
2020-04-21 01:23:40,19.82,48.97
2020-04-21 01:25:42,19.82,48.92
2020-04-21 01:27:43,19.85,48.95
2020-04-21 01:29:44,19.84,48.9
2020-04-21 01:31:45,19.84,48.91
2020-04-21 01:33:46,19.82,48.94
2020-04-21 01:35:48,19.81,49.09
2020-04-21 01:37:49,19.83,49.06
2020-04-21 01:39:50,19.9,48.92
2020-04-21 01:41:51,19.85,49.08
2020-04-21 01:43:53,19.84,49.15
2020-04-21 01:45:54,19.86,49.19
2020-04-21 01:47:55,19.8,49.41
2020-04-21 01:49:56,19.84,49.38
2020-04-21 01:51:58,19.85,49.38
2020-04-21 01:53:59,19.83,49.49
2020-04-21 01:56:00,19.77,49.65
2020-04-21 01:58:01,19.82,49.63
2020-04-21 02:00:03,19.79,49.75
2020-04-21 02:02:04,19.78,49.8
2020-04-21 02:04:05,19.81,49.69
2020-04-21 02:06:06,19.84,49.66
2020-04-21 02:08:08,19.79,49.72
2020-04-21 02:10:09,19.86,49.57
2020-04-21 02:12:10,19.86,49.62
2020-04-21 02:14:11,19.87,49.66
2020-04-21 02:16:13,19.89,49.61
2020-04-21 02:18:14,19.89,49.59
2020-04-21 02:20:15,19.9,49.63
2020-04-21 02:22:16,19.83,49.82
2020-04-21 02:24:18,19.86,49.75
2020-04-21 02:26:19,19.79,49.98
2020-04-21 02:28:20,19.85,49.92
2020-04-21 02:30:21,19.79,50.02
2020-04-21 02:32:23,19.82,50
2020-04-21 02:34:24,19.83,50.01
2020-04-21 02:36:25,19.87,49.91
2020-04-21 02:38:27,19.85,49.93
2020-04-21 02:40:28,19.86,49.88
2020-04-21 02:42:29,19.86,49.91
2020-04-21 02:44:30,19.81,50.07
2020-04-21 02:46:32,19.82,50.08
2020-04-21 02:48:33,19.83,50.1
2020-04-21 02:50:34,19.9,49.98
2020-04-21 02:52:35,19.91,49.93
2020-04-21 02:54:36,19.81,50.13
2020-04-21 02:56:38,19.85,50.1
2020-04-21 02:58:39,19.83,50.14
2020-04-21 03:00:40,19.79,50.21
2020-04-21 03:02:41,19.84,50.11
2020-04-21 03:04:43,19.82,50.14
2020-04-21 03:06:44,19.85,50.02
2020-04-21 03:08:45,19.77,50.17
2020-04-21 03:10:46,19.8,50.05
2020-04-21 03:12:47,19.76,50.1
2020-04-21 03:14:49,19.8,50.02
2020-04-21 03:16:50,19.76,50.03
2020-04-21 03:18:51,19.8,49.89
2020-04-21 03:20:52,19.83,49.82
2020-04-21 03:22:54,19.86,49.67
2020-04-21 03:24:55,19.82,49.69
2020-04-21 03:26:56,19.87,49.57
2020-04-21 03:28:57,19.85,49.55
2020-04-21 03:30:58,19.84,49.65
2020-04-21 03:33:00,19.82,49.71
2020-04-21 03:35:01,19.8,49.76
2020-04-21 03:37:02,19.82,49.74
2020-04-21 03:39:03,19.79,49.74
2020-04-21 03:41:05,19.85,49.62
2020-04-21 03:43:06,19.83,49.62
2020-04-21 03:45:07,19.81,49.74
2020-04-21 03:47:08,19.87,49.6
2020-04-21 03:49:10,19.82,49.62
2020-04-21 03:51:11,19.85,49.54
2020-04-21 03:53:12,19.86,49.47
2020-04-21 03:55:14,19.8,49.57
2020-04-21 03:57:15,19.83,49.5
2020-04-21 03:59:16,19.75,49.66
2020-04-21 04:01:17,19.78,49.68
2020-04-21 04:03:18,19.8,49.58
2020-04-21 04:05:19,19.82,49.48
2020-04-21 04:07:21,19.8,49.48
2020-04-21 04:09:22,19.86,49.3
2020-04-21 04:11:23,19.88,49.22
2020-04-21 04:13:24,19.88,49.16
